Episode,Rewards, QoS violation, Action type
1,0.98431,0.01569,0
2,0.96858,0.01573,2
3,1.95287,0.01571,0
4,1.93712,0.01575,5
5,2.92139,0.01573,5
6,3.90566,0.01573,5
7,4.88994,0.01572,5
8,5.87424,0.0157,5
9,6.85856,0.01568,5
10,7.84289,0.01567,2
11,8.82725,0.01564,4
12,9.81165,0.0156,4
13,10.79612,0.01553,4
14,11.7807,0.01542,4
15,12.76531,0.01539,0
16,12.74989,0.01542,0
17,12.73436,0.01553,0
18,12.71876,0.0156,0
19,12.70312,0.01564,0
20,12.68744,0.01568,0
21,12.67173,0.01571,5
22,13.65603,0.0157,5
23,14.64034,0.01569,5
24,15.62466,0.01568,2
25,16.609,0.01566,2
26,17.59337,0.01563,2
27,18.57777,0.0156,2
28,19.56222,0.01555,2
29,20.54676,0.01546,2
30,21.53132,0.01544,1
31,22.51588,0.01544,1
32,22.50043,0.01545,1
33,22.48497,0.01546,1
34,23.46951,0.01546,1
35,23.45404,0.01547,2
36,24.43861,0.01543,2
37,25.42319,0.01542,0
38,25.40775,0.01544,0
39,25.39227,0.01548,0
40,25.37676,0.01551,0
41,25.36114,0.01562,2
42,26.34563,0.01551,0
43,26.33001,0.01562,0
44,26.31432,0.01569,3
45,26.29859,0.01573,3
46,26.28283,0.01576,3
47,26.26704,0.01579,3
48,26.25122,0.01582,1
49,26.23539,0.01583,1
50,27.21956,0.01583,1
51,27.20372,0.01584,1
52,28.18788,0.01584,1
53,28.17202,0.01586,1
54,29.15616,0.01586,0
55,29.14026,0.0159,2
56,30.12439,0.01587,0
57,30.10848,0.01591,0
58,30.09248,0.016,0
59,30.07644,0.01604,0
60,30.06035,0.01609,3
61,30.0442,0.01615,3
62,30.02801,0.01619,3
63,30.01181,0.0162,1
64,29.99559,0.01622,3
65,29.97935,0.01624,3
66,29.96303,0.01632,3
67,29.94668,0.01635,3
68,29.93028,0.0164,5
69,30.91388,0.0164,5
70,31.89748,0.0164,5
71,32.88109,0.01639,5
72,33.86471,0.01638,5
73,34.84833,0.01638,0
74,34.83193,0.0164,0
75,34.81547,0.01646,0
76,34.79895,0.01652,0
77,34.78237,0.01658,0
78,34.76572,0.01665,4
79,35.74914,0.01658,4
80,36.73262,0.01652,4
81,37.71616,0.01646,4
82,38.69976,0.0164,4
83,39.68338,0.01638,2
84,40.66706,0.01632,2
85,41.65077,0.01629,5
86,42.63449,0.01628,5
87,43.61821,0.01628,0
88,43.60189,0.01632,0
89,43.58551,0.01638,0
90,43.56911,0.0164,0
91,43.55265,0.01646,0
92,43.53613,0.01652,0
93,43.51955,0.01658,0
94,43.5029,0.01665,2
95,44.48632,0.01658,2
96,45.46979,0.01653,2
97,46.45331,0.01648,2
98,47.43689,0.01642,2
99,48.42049,0.0164,0
100,48.40407,0.01642,2
101,49.38766,0.01641,2
102,50.3713,0.01636,2
103,51.35497,0.01633,5
104,52.33865,0.01632,0
105,52.32229,0.01636,0
106,52.30587,0.01642,0
107,52.28943,0.01644,0
108,52.27293,0.0165,0
109,52.25637,0.01656,0
110,52.23975,0.01662,0
111,52.22306,0.01669,0
112,52.20634,0.01672,1
113,52.18961,0.01673,1
114,52.17287,0.01674,1
115,53.15613,0.01674,2
116,54.1394,0.01673,2
117,55.12273,0.01667,2
118,56.10608,0.01665,2
119,57.08948,0.0166,4
120,58.07294,0.01654,5
121,59.05641,0.01653,5
122,60.03991,0.0165,2
123,60.0234,0.01651,2
124,61.00694,0.01646,0
125,60.99042,0.01652,0
126,60.97388,0.01654,0
127,60.95728,0.0166,0
128,60.94062,0.01666,0
129,60.92391,0.01671,0
130,60.90712,0.01679,0
131,60.8903,0.01682,0
132,60.87344,0.01686,4
133,61.85662,0.01682,0
134,61.83976,0.01686,4
135,62.82294,0.01682,5
136,63.80613,0.01681,5
137,64.78935,0.01678,5
138,65.77259,0.01676,5
139,66.75585,0.01674,5
140,67.73911,0.01674,5
141,68.72238,0.01673,1
142,68.70564,0.01674,0
143,68.68886,0.01678,0
144,68.67203,0.01683,0
145,68.65515,0.01688,0
146,68.63821,0.01694,3
147,68.62123,0.01698,0
148,68.60421,0.01702,4
149,69.58723,0.01698,4
150,70.57031,0.01692,5
151,71.55339,0.01692,5
152,72.53648,0.01691,5
153,73.51958,0.0169,5
154,74.50268,0.0169,5
155,75.48578,0.0169,5
156,76.46889,0.01689,5
157,77.45201,0.01688,5
158,78.43513,0.01688,5
159,79.41827,0.01686,0
160,79.40135,0.01692,2
161,80.38447,0.01688,2
162,81.36765,0.01682,1
163,81.35082,0.01683,1
164,81.33398,0.01684,1
165,82.31714,0.01684,0
166,82.30024,0.0169,1
167,83.28334,0.0169,3
168,83.26638,0.01696,3
169,83.24939,0.01699,2
170,84.23243,0.01696,2
171,85.21553,0.0169,2
172,86.19868,0.01685,2
173,87.18187,0.01681,2
174,88.16511,0.01676,2
175,89.14837,0.01674,2
176,90.13166,0.01671,2
177,91.11501,0.01665,2
178,92.09839,0.01662,2
179,93.0818,0.01659,2
180,94.06526,0.01654,2
181,95.04873,0.01653,2
182,96.03226,0.01647,0
183,96.01573,0.01653,0
184,95.99918,0.01655,0
185,95.98258,0.0166,0
186,95.96591,0.01667,0
187,95.9492,0.01671,0
188,95.9324,0.0168,0
189,95.91557,0.01683,3
190,95.89871,0.01686,0
191,95.8818,0.01691,0
192,95.86484,0.01696,2
193,96.84792,0.01692,2
194,97.83105,0.01687,2
195,98.81421,0.01684,2
196,99.7974,0.01681,2
197,100.78067,0.01673,1
198,100.76393,0.01674,5
199,101.7472,0.01673,0
200,101.73038,0.01682,0
201,101.71353,0.01685,0
202,101.69664,0.01689,0
203,101.6797,0.01694,0
204,101.66271,0.01699,0
205,101.64566,0.01705,0
206,101.62855,0.01711,0
207,101.6114,0.01715,0
208,101.59421,0.01719,0
209,101.57695,0.01726,0
210,101.55964,0.01731,2
211,102.54237,0.01727,2
212,103.52517,0.0172,2
213,104.50799,0.01718,5
214,105.49083,0.01716,5
215,106.47367,0.01716,5
216,107.45652,0.01715,0
217,107.43933,0.01719,2
218,108.42217,0.01716,0
219,108.40497,0.0172,0
220,108.3877,0.01727,2
221,109.3705,0.0172,2
222,110.35333,0.01717,2
223,111.33617,0.01716,2
224,112.31904,0.01713,2
225,113.30196,0.01708,2
226,114.28495,0.01701,5
227,115.26794,0.01701,5
228,116.25094,0.017,5
229,117.23397,0.01697,5
230,118.21702,0.01695,0
231,118.2,0.01702,0
232,118.18292,0.01708,0
233,118.16578,0.01714,1
234,118.14862,0.01716,1
235,118.13143,0.01719,4
236,119.1143,0.01713,4
237,120.09723,0.01707,4
238,121.08023,0.017,4
239,122.06326,0.01697,2
240,123.04632,0.01694,2
241,124.02942,0.0169,2
242,125.0126,0.01682,2
243,125.99583,0.01677,2
244,126.97911,0.01672,0
245,126.96233,0.01678,0
246,126.9455,0.01683,0
247,126.92859,0.01691,3
248,126.91165,0.01694,4
249,127.89475,0.0169,1
250,127.87784,0.01691,1
251,127.86092,0.01692,1
252,127.84399,0.01693,1
253,128.82706,0.01693,2
254,129.8102,0.01686,1
255,129.79333,0.01687,0
256,129.77638,0.01695,0
257,129.75939,0.01699,0
258,129.74236,0.01703,0
259,129.7253,0.01706,0
260,129.70817,0.01713,0
261,129.69098,0.01719,2
262,130.67385,0.01713,2
263,131.65678,0.01707,2
264,132.63973,0.01705,5
265,133.62269,0.01704,5
266,134.60566,0.01703,4
267,135.58867,0.01699,5
268,136.57168,0.01699,5
269,137.5547,0.01698,5
270,138.53773,0.01697,0
271,138.52072,0.01701,0
272,138.50368,0.01704,0
273,138.48657,0.01711,0
274,138.4694,0.01717,0
275,138.45218,0.01722,0
276,138.43493,0.01725,0
277,138.41762,0.01731,0
278,138.40025,0.01737,0
279,138.38282,0.01743,2
280,139.36544,0.01738,2
281,140.34811,0.01733,2
282,141.33084,0.01727,2
283,142.31359,0.01725,5
284,143.29635,0.01724,5
285,144.27911,0.01724,5
286,145.26188,0.01723,5
287,146.24466,0.01722,5
288,147.22744,0.01722,5
289,148.21023,0.01721,0
290,148.19299,0.01724,0
291,148.17569,0.0173,0
292,148.15833,0.01736,0
293,148.14091,0.01742,0
294,148.12342,0.01749,2
295,149.10599,0.01743,4
296,150.08862,0.01737,2
297,151.07131,0.01731,2
298,152.05405,0.01726,2
299,153.03681,0.01724,2
300,154.01962,0.01719,2
301,155.00248,0.01714,2
302,155.9854,0.01708,0
303,155.96825,0.01715,0
304,155.95104,0.01721,0
305,155.93378,0.01726,0
306,155.91649,0.01729,0
307,155.89914,0.01735,0
308,155.88173,0.01741,0
309,155.86426,0.01747,0
310,155.84672,0.01754,0
311,155.82909,0.01763,0
312,155.81138,0.01771,2
313,156.79374,0.01764,2
314,157.77618,0.01756,2
315,158.75868,0.0175,2
316,159.74122,0.01746,2
317,160.72383,0.01739,2
318,161.7065,0.01733,2
319,162.68918,0.01732,0
320,162.67182,0.01736,0
321,162.6544,0.01742,1
322,162.63695,0.01745,0
323,162.61943,0.01752,0
324,162.60185,0.01758,0
325,162.5842,0.01765,0
326,162.56646,0.01774,4
327,163.54881,0.01765,3
328,163.5311,0.01771,2
329,164.51345,0.01765,2
330,165.49587,0.01758,2
331,166.47832,0.01755,2
332,167.46083,0.01749,5
333,168.44335,0.01748,5
334,169.4259,0.01745,5
335,170.40845,0.01745,5
336,171.39103,0.01742,2
337,172.37364,0.01739,2
338,173.35629,0.01735,0
339,173.3389,0.01739,0
340,173.32145,0.01745,0
341,173.30393,0.01752,0
342,173.28635,0.01758,0
343,173.2687,0.01765,3
344,173.25097,0.01773,3
345,173.23318,0.01779,3
346,173.21536,0.01782,3
347,173.19751,0.01785,3
348,173.17962,0.01789,3
349,173.16166,0.01796,5
350,174.14371,0.01795,5
351,175.12577,0.01794,2
352,176.10791,0.01786,0
353,176.08996,0.01795,2
354,177.07209,0.01787,2
355,178.05424,0.01785,2
356,179.03642,0.01782,0
357,179.01857,0.01785,0
358,179.00068,0.01789,0
359,178.9827,0.01798,0
360,178.96467,0.01803,0
361,178.94658,0.01809,0
362,178.92842,0.01816,0
363,178.91022,0.0182,3
364,178.89193,0.01829,3
365,178.8736,0.01833,3
366,178.85526,0.01834,3
367,178.83686,0.0184,3
368,178.81842,0.01844,3
369,178.79994,0.01848,2
370,179.7815,0.01844,3
371,179.76302,0.01848,0
372,179.74448,0.01854,0
373,179.72586,0.01862,0
374,179.70717,0.01869,2
375,180.68853,0.01864,2
376,181.66996,0.01857,2
377,182.65144,0.01852,2
378,183.63297,0.01847,2
379,184.61453,0.01844,2
380,185.59616,0.01837,2
381,186.5778,0.01836,1
382,186.55942,0.01838,0
383,186.54102,0.0184,5
384,187.52264,0.01838,0
385,187.50419,0.01845,0
386,187.48569,0.0185,2
387,188.46722,0.01847,2
388,189.44879,0.01843,2
389,190.43038,0.01841,2
390,191.412,0.01838,2
391,192.3937,0.0183,2
392,193.37544,0.01826,2
393,194.35723,0.01821,2
394,195.33907,0.01816,2
395,196.32092,0.01815,2
396,197.30286,0.01806,2
397,198.28484,0.01802,0
398,198.26678,0.01806,0
399,198.24863,0.01815,0
400,198.23043,0.0182,0
401,198.21217,0.01826,0
402,198.19385,0.01832,2
403,199.17557,0.01828,2
404,200.15734,0.01823,2
405,201.13916,0.01818,2
406,202.12106,0.0181,2
407,203.10301,0.01805,2
408,203.08495,0.01806,2
409,204.06696,0.01799,2
410,205.04903,0.01793,2
411,206.03116,0.01787,3
412,206.01323,0.01793,2
413,206.99536,0.01787,2
414,207.97756,0.0178,2
415,208.95981,0.01775,2
416,209.94211,0.0177,2
417,210.92445,0.01766,2
418,211.90684,0.01761,2
419,212.88924,0.0176,2
420,213.87169,0.01755,2
421,214.85423,0.01746,2
422,215.8368,0.01743,2
423,216.81938,0.01742,2
424,217.80201,0.01737,2
425,218.7847,0.01731,0
426,218.76733,0.01737,4
427,219.75002,0.01731,4
428,220.73277,0.01725,4
429,221.7156,0.01717,4
430,222.69845,0.01715,0
431,222.68128,0.01717,2
432,223.66412,0.01716,2
433,224.64702,0.0171,2
434,225.62995,0.01707,2
435,226.61295,0.017,2
436,227.596,0.01695,2
437,228.57908,0.01692,2
438,229.5622,0.01688,2
439,230.54538,0.01682,2
440,231.52859,0.01679,4
441,232.51185,0.01674,0
442,232.49506,0.01679,1
443,232.47826,0.0168,5
444,233.46147,0.01679,0
445,233.44463,0.01684,0
446,233.42773,0.0169,0
447,233.41079,0.01694,0
448,233.39382,0.01697,5
449,234.37687,0.01695,0
450,234.35987,0.017,0
451,234.34278,0.01709,2
452,235.32576,0.01702,2
453,236.30878,0.01698,2
454,237.29183,0.01695,2
455,238.27491,0.01692,2
456,239.25804,0.01687,2
