Episode, Rewards, QoS violation, Action type
1,0.98431,0.01569,5
2,1.96862,0.01569,5
3,2.95294,0.01568,5
4,3.93728,0.01566,5
5,4.92164,0.01564,4
6,5.90604,0.0156,5
7,6.89045,0.01559,0
8,6.87482,0.01563,5
9,7.8592,0.01562,5
10,8.84359,0.01561,5
11,9.82798,0.01561,3
12,9.81233,0.01565,5
13,10.79668,0.01565,5
14,11.78104,0.01564,5
15,12.76542,0.01562,0
16,12.74977,0.01565,3
17,12.73408,0.01569,0
18,12.71835,0.01573,0
19,12.70253,0.01582,0
20,12.68667,0.01586,2
21,13.67085,0.01582,0
22,13.65499,0.01586,0
23,13.63908,0.01591,0
24,13.6231,0.01598,0
25,13.6071,0.016,3
26,13.59106,0.01604,3
27,13.57499,0.01607,3
28,13.55886,0.01613,3
29,13.54269,0.01617,3
30,13.52647,0.01622,3
31,14.51025,0.01622,3
32,14.49398,0.01627,5
33,15.47772,0.01626,5
34,16.46147,0.01625,5
35,17.44522,0.01625,1
36,18.42897,0.01625,5
37,19.41272,0.01625,5
38,20.39648,0.01624,5
39,21.38024,0.01624,5
40,22.364,0.01624,5
41,23.34777,0.01623,1
42,23.33153,0.01624,1
43,24.31529,0.01624,1
44,25.29905,0.01624,1
45,25.2828,0.01625,1
46,26.26655,0.01625,1
47,26.25029,0.01626,1
48,26.23402,0.01627,1
49,27.21775,0.01627,1
50,27.20146,0.01629,4
51,28.18522,0.01624,3
52,28.16895,0.01627,3
53,28.15262,0.01633,3
54,28.13625,0.01637,3
55,28.11981,0.01644,3
56,28.10333,0.01648,3
57,28.08682,0.01651,4
58,29.07035,0.01647,3
59,29.05384,0.01651,3
60,29.0373,0.01654,0
61,29.02069,0.01661,3
62,29.00403,0.01666,3
63,28.98735,0.01668,3
64,28.97066,0.01669,3
65,28.95393,0.01673,0
66,28.93714,0.01679,0
67,28.92028,0.01686,0
68,28.90335,0.01693,0
69,28.88635,0.017,0
70,28.86926,0.01709,0
71,28.8521,0.01716,0
72,28.83492,0.01718,0
73,28.81768,0.01724,4
74,29.8005,0.01718,4
75,30.78334,0.01716,5
76,31.76618,0.01716,4
77,32.7491,0.01708,4
78,33.73211,0.01699,4
79,34.71518,0.01693,4
80,35.69832,0.01686,5
81,36.68148,0.01684,4
82,37.66471,0.01677,1
83,37.64792,0.01679,1
84,38.63113,0.01679,1
85,38.61433,0.0168,5
86,39.59754,0.01679,3
87,39.58068,0.01686,3
88,39.56377,0.01691,3
89,39.54684,0.01693,3
90,39.52982,0.01702,3
91,39.51273,0.01709,5
92,40.49564,0.01709,5
93,41.47855,0.01709,5
94,42.46147,0.01708,5
95,43.44439,0.01708,5
96,44.42732,0.01707,5
97,45.41026,0.01706,0
98,45.39318,0.01708,5
99,46.37612,0.01706,5
100,47.35908,0.01704,1
101,47.34202,0.01706,4
102,48.32498,0.01704,4
103,49.30802,0.01696,4
104,50.29115,0.01687,4
105,51.27434,0.01681,4
106,52.2576,0.01674,4
107,53.24093,0.01667,4
108,54.22432,0.01661,1
109,54.20769,0.01663,1
110,54.19105,0.01664,1
111,54.1744,0.01665,1
112,55.15775,0.01665,1
113,55.14109,0.01666,1
114,56.12443,0.01666,1
115,57.10777,0.01666,1
116,58.09111,0.01666,1
117,58.07444,0.01667,1
118,58.05774,0.0167,1
119,58.04102,0.01672,1
120,58.02429,0.01673,1
121,59.00756,0.01673,2
122,59.99086,0.0167,1
123,59.97413,0.01673,3
124,59.95738,0.01675,1
125,59.9406,0.01678,2
126,60.92387,0.01673,4
127,61.90718,0.01669,4
128,62.89052,0.01666,4
129,63.87392,0.0166,5
130,64.85732,0.0166,4
131,65.84079,0.01653,4
132,66.82429,0.0165,4
133,67.80783,0.01646,4
134,68.79141,0.01642,4
135,69.77507,0.01634,4
136,70.75878,0.01629,5
137,71.74252,0.01626,5
138,72.72627,0.01625,5
139,73.71003,0.01624,3
140,73.69374,0.01629,5
141,74.67747,0.01627,5
142,75.66124,0.01623,5
143,76.64501,0.01623,2
144,77.62883,0.01618,2
145,78.61267,0.01616,2
146,79.59655,0.01612,1
147,80.58043,0.01612,2
148,81.56431,0.01612,4
149,82.54825,0.01606,4
150,83.53223,0.01602,4
151,84.51629,0.01594,5
152,85.50036,0.01593,4
153,86.48448,0.01588,4
154,87.46864,0.01584,4
155,88.45282,0.01582,1
156,89.437,0.01582,2
157,90.42123,0.01577,2
158,91.40548,0.01575,5
159,92.38976,0.01572,5
160,93.37405,0.01571,0
161,93.35829,0.01576,0
162,93.34246,0.01583,0
163,93.32661,0.01585,2
164,94.31077,0.01584,0
165,94.29491,0.01586,0
166,94.27901,0.0159,0
167,94.26307,0.01594,0
168,94.24704,0.01603,5
169,95.23103,0.01601,4
170,96.21511,0.01592,1
171,96.19917,0.01594,4
172,97.18327,0.0159,4
173,98.16741,0.01586,1
174,98.15152,0.01589,0
175,98.13559,0.01593,2
176,99.1197,0.01589,2
177,100.10382,0.01588,1
178,101.08794,0.01588,2
179,102.07212,0.01582,2
180,103.05635,0.01577,2
