Episode: 1 , Rewards: 0.98431 , QoS violation: 0.01569 , Action type: 5 
Episode: 2 , Rewards: 1.96862 , QoS violation: 0.01569 , Action type: 5 
Episode: 3 , Rewards: 2.95294 , QoS violation: 0.01568 , Action type: 5 
Episode: 4 , Rewards: 3.93728 , QoS violation: 0.01566 , Action type: 5 
Episode: 5 , Rewards: 4.92164 , QoS violation: 0.01564 , Action type: 4 
Episode: 6 , Rewards: 5.90604 , QoS violation: 0.0156 , Action type: 5 
Episode: 7 , Rewards: 6.8904499999999995 , QoS violation: 0.01559 , Action type: 0 
Episode: 8 , Rewards: 6.87482 , QoS violation: 0.01563 , Action type: 5 
Episode: 9 , Rewards: 7.8591999999999995 , QoS violation: 0.01562 , Action type: 5 
Episode: 10 , Rewards: 8.843589999999999 , QoS violation: 0.01561 , Action type: 5 
Episode: 11 , Rewards: 9.827979999999998 , QoS violation: 0.01561 , Action type: 3 
Episode: 12 , Rewards: 9.812329999999998 , QoS violation: 0.01565 , Action type: 5 
Episode: 13 , Rewards: 10.796679999999997 , QoS violation: 0.01565 , Action type: 5 
Episode: 14 , Rewards: 11.781039999999997 , QoS violation: 0.01564 , Action type: 5 
Episode: 15 , Rewards: 12.765419999999997 , QoS violation: 0.01562 , Action type: 0 
Episode: 16 , Rewards: 12.749769999999996 , QoS violation: 0.01565 , Action type: 3 
Episode: 17 , Rewards: 12.734079999999997 , QoS violation: 0.01569 , Action type: 0 
Episode: 18 , Rewards: 12.718349999999997 , QoS violation: 0.01573 , Action type: 0 
Episode: 19 , Rewards: 12.702529999999998 , QoS violation: 0.01582 , Action type: 0 
Episode: 20 , Rewards: 12.686669999999998 , QoS violation: 0.01586 , Action type: 2 
Episode: 21 , Rewards: 13.670849999999998 , QoS violation: 0.01582 , Action type: 0 
Episode: 22 , Rewards: 13.654989999999998 , QoS violation: 0.01586 , Action type: 0 
Episode: 23 , Rewards: 13.639079999999998 , QoS violation: 0.01591 , Action type: 0 
Episode: 24 , Rewards: 13.623099999999997 , QoS violation: 0.01598 , Action type: 0 
Episode: 25 , Rewards: 13.607099999999997 , QoS violation: 0.016 , Action type: 3 
Episode: 26 , Rewards: 13.591059999999997 , QoS violation: 0.01604 , Action type: 3 
Episode: 27 , Rewards: 13.574989999999998 , QoS violation: 0.01607 , Action type: 3 
Episode: 28 , Rewards: 13.558859999999997 , QoS violation: 0.01613 , Action type: 3 
Episode: 29 , Rewards: 13.542689999999997 , QoS violation: 0.01617 , Action type: 3 
Episode: 30 , Rewards: 13.526469999999996 , QoS violation: 0.01622 , Action type: 3 
Episode: 31 , Rewards: 14.510249999999996 , QoS violation: 0.01622 , Action type: 3 
Episode: 32 , Rewards: 14.493979999999995 , QoS violation: 0.01627 , Action type: 5 
Episode: 33 , Rewards: 15.477719999999994 , QoS violation: 0.01626 , Action type: 5 
Episode: 34 , Rewards: 16.461469999999995 , QoS violation: 0.01625 , Action type: 5 
Episode: 35 , Rewards: 17.445219999999996 , QoS violation: 0.01625 , Action type: 1 
Episode: 36 , Rewards: 18.428969999999996 , QoS violation: 0.01625 , Action type: 5 
Episode: 37 , Rewards: 19.412719999999997 , QoS violation: 0.01625 , Action type: 5 
Episode: 38 , Rewards: 20.396479999999997 , QoS violation: 0.01624 , Action type: 5 
Episode: 39 , Rewards: 21.380239999999997 , QoS violation: 0.01624 , Action type: 5 
Episode: 40 , Rewards: 22.363999999999997 , QoS violation: 0.01624 , Action type: 5 
Episode: 41 , Rewards: 23.347769999999997 , QoS violation: 0.01623 , Action type: 1 
Episode: 42 , Rewards: 23.331529999999997 , QoS violation: 0.01624 , Action type: 1 
Episode: 43 , Rewards: 24.315289999999997 , QoS violation: 0.01624 , Action type: 1 
Episode: 44 , Rewards: 25.299049999999998 , QoS violation: 0.01624 , Action type: 1 
