, Rewards,QoS violation,,
Episode: 1 ,0.98431,0.01569, Action type: [0, 2] 
Episode: 2 ,0.9686,0.01571, Action type: [0, 2] 
Episode: 3 ,1.95289,0.01571, Action type: [0, 2] 
Episode: 4 ,2.93718,0.01571, Action type: [1 1] ,
Episode: 5 ,3.92147,0.01571, Action type: [0, 2] 
Episode: 6 ,3.90575,0.01572, Action type: [0, 2] 
Episode: 7 ,4.89003,0.01572, Action type: [0, 2] 
Episode: 8 ,4.8743,0.01573, Action type: [0, 1] 
Episode: 9 ,4.85853,0.01577, Action type: [0, 1] 
Episode: 10 ,4.84272,0.01581, Action type: [0, 1] 
Episode: 11 ,4.82688,0.01584, Action type: [0, 1] 
Episode: 12 ,4.811,0.01588, Action type: [0, 1] 
Episode: 13 ,4.79503,0.01597, Action type: [0, 1] 
Episode: 14 ,4.77902,0.01601, Action type: [2, 1] 
Episode: 15 ,4.76297,0.01605, Action type: [2, 1] 
Episode: 16 ,4.74685,0.01612, Action type: [2, 1] 
Episode: 17 ,4.7307,0.01615, Action type: [2, 1] 
Episode: 18 ,4.71452,0.01618, Action type: [2, 1] 
Episode: 19 ,4.69831,0.01621, Action type: [2, 1] 
Episode: 20 ,4.68203,0.01628, Action type: [2, 1] 
Episode: 21 ,4.66571,0.01632, Action type: [2, 1] 
Episode: 22 ,4.64934,0.01637, Action type: [2, 1] 
Episode: 23 ,5.63297,0.01637, Action type: [2, 1] 
Episode: 24 ,5.61656,0.01641, Action type: [2, 1] 
Episode: 25 ,5.6001,0.01646, Action type: [2, 1] 
Episode: 26 ,5.58359,0.01651, Action type: [2, 1] 
Episode: 27 ,5.56702,0.01657, Action type: [2, 1] 
Episode: 28 ,5.55042,0.0166, Action type: [2, 1] 
Episode: 29 ,5.53378,0.01664, Action type: [2, 1] 
Episode: 30 ,5.5171,0.01668, Action type: [2 0] ,
Episode: 31 ,6.50044,0.01666, Action type: [2, 1] 
Episode: 32 ,6.48373,0.01671, Action type: [2, 1] 
Episode: 33 ,6.46698,0.01675, Action type: [2, 1] 
Episode: 34 ,6.45019,0.01679, Action type: [0, 1] 
Episode: 35 ,6.43337,0.01682, Action type: [1 2] ,
Episode: 36 ,7.41656,0.01681, Action type: [0, 1] 
Episode: 37 ,7.39972,0.01684, Action type: [0, 1] 
Episode: 38 ,7.38283,0.01689, Action type: [0, 2] 
Episode: 39 ,7.36592,0.01691, Action type: [1, 2] 
Episode: 40 ,8.34907,0.01685, Action type: [1, 0] 
Episode: 41 ,9.33224,0.01683, Action type: [1, 0] 
Episode: 42 ,10.31547,0.01677, Action type: [1, 0] 
Episode: 43 ,11.29876,0.01671, Action type: [1, 0] 
Episode: 44 ,12.2821,0.01666, Action type: [1, 0] 
Episode: 45 ,13.26549,0.01661, Action type: [1, 0] 
Episode: 46 ,14.24892,0.01657, Action type: [1, 0] 
Episode: 47 ,15.23238,0.01654, Action type: [1, 0] 
Episode: 48 ,16.21591,0.01647, Action type: [1, 0] 
Episode: 49 ,17.1995,0.01641, Action type: [1, 0] 
Episode: 50 ,18.18315,0.01635, Action type: [1, 2] 
Episode: 51 ,19.16684,0.01631, Action type: [0, 2] 
Episode: 52 ,19.15052,0.01632, Action type: [0, 2] 
Episode: 53 ,20.1342,0.01632, Action type: [0, 2] 
Episode: 54 ,21.11788,0.01632, Action type: [0, 2] 
Episode: 55 ,21.10155,0.01633, Action type: [0, 2] 
Episode: 56 ,21.08521,0.01634, Action type: [0, 2] 
Episode: 57 ,22.06887,0.01634, Action type: [0, 2] 
Episode: 58 ,22.05251,0.01636, Action type: [1 1] ,
Episode: 59 ,23.03615,0.01636, Action type: [0, 2] 
Episode: 60 ,23.01976,0.01639, Action type: [0, 2] 
Episode: 61 ,23.00336,0.0164, Action type: [0, 2] 
Episode: 62 ,23.98696,0.0164, Action type: [0, 2] 
Episode: 63 ,23.97055,0.01641, Action type: [1, 0] 
