,Rewards,QoS violation,
Episode: 1 ,0.98431,0.01569, Action type: 5 
Episode: 2 ,1.96862,0.01569, Action type: 3 
Episode: 3 ,2.95297,0.01565, Action type: 3 
Episode: 4 ,3.93739,0.01558, Action type: 3 
Episode: 1 ,0.98431,0.01569, Action type: 5 
Episode: 2 ,1.96862,0.01569, Action type: 5 
Episode: 3 ,2.95294,0.01568, Action type: 5 
Episode: 4 ,3.93728,0.01566, Action type: 5 
Episode: 5 ,4.92164,0.01564, Action type: 5 
Episode: 6 ,5.90601,0.01563, Action type: 5 
Episode: 7 ,6.89039,0.01562, Action type: 2 
Episode: 8 ,7.8748,0.01559, Action type: 2 
Episode: 9 ,8.85927,0.01553, Action type: 2 
Episode: 10 ,9.84383,0.01544, Action type: 2 
Episode: 11 ,10.8284,0.01543, Action type: 2 
Episode: 12 ,11.81299,0.01541, Action type: 2 
Episode: 13 ,12.7976,0.01539, Action type: 2 
Episode: 14 ,13.78227,0.01533, Action type: 2 
Episode: 15 ,14.76698,0.01529, Action type: 5 
Episode: 16 ,15.7517,0.01528, Action type: 5 
Episode: 17 ,16.73643,0.01527, Action type: 5 
Episode: 18 ,17.72116,0.01527, Action type: 5 
Episode: 19 ,18.7059,0.01526, Action type: 5 
Episode: 20 ,19.69066,0.01524, Action type: 5 
Episode: 21 ,20.67544,0.01522, Action type: 5 
Episode: 22 ,21.66023,0.01521, Action type: 5 
Episode: 23 ,22.64503,0.0152, Action type: 5 
Episode: 24 ,23.62984,0.01519, Action type: 5 
Episode: 25 ,24.61465,0.01519, Action type: 5 
Episode: 26 ,25.59946,0.01519, Action type: 5 
Episode: 27 ,26.58427,0.01519, Action type: 5 
Episode: 28 ,27.56909,0.01518, Action type: 5 
Episode: 29 ,28.55393,0.01516, Action type: 5 
Episode: 30 ,29.53877,0.01516, Action type: 5 
Episode: 31 ,30.52362,0.01515, Action type: 5 
Episode: 32 ,31.50849,0.01513, Action type: 5 
Episode: 33 ,32.49337,0.01512, Action type: 5 
Episode: 34 ,33.47826,0.01511, Action type: 5 
Episode: 35 ,34.46317,0.01509, Action type: 5 
Episode: 36 ,35.44808,0.01509, Action type: 2 
Episode: 37 ,36.43306,0.01502, Action type: 2 
Episode: 38 ,37.41808,0.01498, Action type: 2 
Episode: 39 ,38.40312,0.01496, Action type: 2 
Episode: 40 ,39.38822,0.0149, Action type: 2 
Episode: 41 ,40.37334,0.01488, Action type: 2 
Episode: 42 ,41.35848,0.01486, Action type: 2 
Episode: 43 ,42.34366,0.01482, Action type: 2 
Episode: 44 ,43.32885,0.01481, Action type: 2 
Episode: 45 ,44.31408,0.01477, Action type: 2 
Episode: 46 ,45.29935,0.01473, Action type: 2 
Episode: 47 ,46.28465,0.0147, Action type: 2 
Episode: 48 ,47.27,0.01465, Action type: 2 
Episode: 49 ,48.25538,0.01462, Action type: 1 
Episode: 50 ,48.24072,0.01466, Action type: 2 
Episode: 51 ,49.22609,0.01463, Action type: 2 
Episode: 52 ,50.2115,0.01459, Action type: 2 
Episode: 53 ,51.19697,0.01453, Action type: 5 
Episode: 54 ,52.18245,0.01452, Action type: 5 
Episode: 55 ,53.16794,0.01451, Action type: 5 
Episode: 56 ,54.15344,0.0145, Action type: 5 
Episode: 57 ,55.13895,0.01449, Action type: 5 
Episode: 58 ,56.12446,0.01449, Action type: 4 
Episode: 59 ,56.1099,0.01456, Action type: 1 
Episode: 60 ,56.0953,0.0146, Action type: 1 
Episode: 61 ,56.08065,0.01465, Action type: 1 
Episode: 62 ,56.06595,0.0147, Action type: 1 
Episode: 63 ,56.05122,0.01473, Action type: 1 
Episode: 64 ,56.03645,0.01477, Action type: 1 
Episode: 65 ,56.02163,0.01482, Action type: 1 
Episode: 66 ,56.00678,0.01485, Action type: 1 
Episode: 67 ,55.99189,0.01489, Action type: 1 
Episode: 68 ,55.97697,0.01492, Action type: 1 
Episode: 69 ,55.96201,0.01496, Action type: 1 
Episode: 70 ,55.94698,0.01503, Action type: 1 
Episode: 71 ,55.93192,0.01506, Action type: 4 
Episode: 72 ,55.9168,0.01512, Action type: 4 
Episode: 73 ,55.90162,0.01518, Action type: 4 
Episode: 74 ,55.88641,0.01521, Action type: 4 
Episode: 75 ,55.87114,0.01527, Action type: 4 
Episode: 76 ,55.85586,0.01528, Action type: 4 
Episode: 77 ,55.84056,0.0153, Action type: 4 
Episode: 78 ,55.82524,0.01532, Action type: 4 
Episode: 79 ,55.80982,0.01542, Action type: 4 
Episode: 80 ,55.79435,0.01547, Action type: 4 
Episode: 81 ,55.77884,0.01551, Action type: 4 
Episode: 82 ,55.76329,0.01555, Action type: 4 
Episode: 83 ,55.74772,0.01557, Action type: 4 
Episode: 84 ,55.73212,0.0156, Action type: 4 
Episode: 85 ,55.71648,0.01564, Action type: 4 
Episode: 86 ,55.70076,0.01572, Action type: 1 
Episode: 87 ,55.685,0.01576, Action type: 1 
Episode: 88 ,55.66919,0.01581, Action type: 1 
Episode: 89 ,55.65333,0.01586, Action type: 1 
Episode: 90 ,55.63743,0.0159, Action type: 1 
Episode: 91 ,55.6215,0.01593, Action type: 1 
Episode: 92 ,55.60552,0.01598, Action type: 1 
Episode: 93 ,55.58947,0.01605, Action type: 1 
Episode: 94 ,55.57338,0.01609, Action type: 1 
Episode: 95 ,55.55723,0.01615, Action type: 5 
Episode: 96 ,56.54108,0.01615, Action type: 5 
Episode: 97 ,57.52494,0.01614, Action type: 5 
Episode: 98 ,58.5088,0.01614, Action type: 5 
Episode: 99 ,59.49269,0.01611, Action type: 5 
Episode: 100 ,60.47659,0.0161, Action type: 5 
Episode: 101 ,61.4605,0.01609, Action type: 3 
Episode: 102 ,62.44447,0.01603, Action type: 5 
Episode: 103 ,63.42844,0.01603, Action type: 5 
Episode: 104 ,64.41243,0.01601, Action type: 3 
Episode: 105 ,65.39646,0.01597, Action type: 5 
Episode: 106 ,66.38053,0.01593, Action type: 1 
Episode: 107 ,66.36456,0.01597, Action type: 1 
Episode: 108 ,66.34854,0.01602, Action type: 0 
Episode: 109 ,66.33248,0.01606, Action type: 4 
Episode: 110 ,67.31643,0.01605, Action type: 4 
Episode: 111 ,67.30032,0.01611, Action type: 4 
Episode: 112 ,67.28416,0.01616, Action type: 4 
Episode: 113 ,67.26795,0.01621, Action type: 4 
Episode: 114 ,67.25167,0.01628, Action type: 4 
Episode: 115 ,67.23534,0.01633, Action type: 4 
Episode: 116 ,67.21897,0.01637, Action type: 5 
Episode: 117 ,68.2026,0.01637, Action type: 1 
Episode: 118 ,68.18622,0.01638, Action type: 3 
Episode: 119 ,69.16985,0.01637, Action type: 3 
Episode: 120 ,70.15352,0.01633, Action type: 3 
Episode: 121 ,71.13725,0.01627, Action type: 3 
Episode: 122 ,72.12105,0.0162, Action type: 3 
Episode: 123 ,73.1049,0.01615, Action type: 3 
Episode: 124 ,74.08882,0.01608, Action type: 3 
Episode: 125 ,75.07279,0.01603, Action type: 3 
Episode: 126 ,76.05679,0.016, Action type: 3 
Episode: 127 ,77.04085,0.01594, Action type: 3 
Episode: 128 ,78.02494,0.01591, Action type: 3 
Episode: 129 ,79.0091,0.01584, Action type: 3 
Episode: 130 ,79.99331,0.01579, Action type: 5 
Episode: 131 ,80.97753,0.01578, Action type: 2 
Episode: 132 ,81.96177,0.01576, Action type: 2 
Episode: 133 ,82.94605,0.01572, Action type: 4 
Episode: 134 ,82.93029,0.01576, Action type: 4 
Episode: 135 ,82.91451,0.01578, Action type: 4 
Episode: 136 ,82.89869,0.01582, Action type: 4 
Episode: 137 ,82.88283,0.01586, Action type: 4 
Episode: 138 ,82.86695,0.01588, Action type: 4 
Episode: 139 ,82.85102,0.01593, Action type: 4 
Episode: 140 ,82.83506,0.01596, Action type: 1 
Episode: 141 ,82.81906,0.016, Action type: 1 
Episode: 142 ,82.80298,0.01608, Action type: 1 
Episode: 143 ,82.78686,0.01612, Action type: 2 
Episode: 144 ,83.77078,0.01608, Action type: 2 
Episode: 145 ,84.75477,0.01601, Action type: 2 
Episode: 146 ,85.73879,0.01598, Action type: 2 
Episode: 147 ,86.72281,0.01598, Action type: 3 
Episode: 148 ,87.70689,0.01592, Action type: 3 
Episode: 149 ,88.691,0.01589, Action type: 3 
Episode: 150 ,89.67518,0.01582, Action type: 0 
Episode: 151 ,89.65935,0.01583, Action type: 0 
Episode: 152 ,89.64351,0.01584, Action type: 0 
Episode: 153 ,90.62767,0.01584, Action type: 0 
Episode: 154 ,91.61183,0.01584, Action type: 0 
Episode: 155 ,91.59598,0.01585, Action type: 0 
Episode: 156 ,92.58013,0.01585, Action type: 0 
Episode: 157 ,93.56428,0.01585, Action type: 0 
Episode: 158 ,93.54842,0.01586, Action type: 0 
Episode: 159 ,94.53256,0.01586, Action type: 0 
Episode: 160 ,94.51666,0.0159, Action type: 0 
Episode: 161 ,94.50074,0.01592, Action type: 4 
Episode: 162 ,94.48477,0.01597, Action type: 0 
Episode: 163 ,94.46878,0.01599, Action type: 0 
Episode: 164 ,95.45279,0.01599, Action type: 0 
Episode: 165 ,95.43679,0.016, Action type: 0 
Episode: 166 ,95.42078,0.01601, Action type: 0 
Episode: 167 ,95.40474,0.01604, Action type: 5 
Episode: 168 ,96.38873,0.01601, Action type: 0 
Episode: 169 ,96.37269,0.01604, Action type: 0 
Episode: 170 ,97.35665,0.01604, Action type: 0 
Episode: 171 ,97.3406,0.01605, Action type: 2 
Episode: 172 ,98.32462,0.01598, Action type: 1 
Episode: 173 ,98.30857,0.01605, Action type: 1 
Episode: 174 ,98.29249,0.01608, Action type: 1 
Episode: 175 ,98.27635,0.01614, Action type: 1 
Episode: 176 ,98.26018,0.01617, Action type: 1 
Episode: 177 ,98.24397,0.01621, Action type: 3 
Episode: 178 ,99.2278,0.01617, Action type: 3 
Episode: 179 ,100.21166,0.01614, Action type: 3 
Episode: 180 ,101.19558,0.01608, Action type: 3 
Episode: 181 ,102.17953,0.01605, Action type: 3 
Episode: 182 ,103.16355,0.01598, Action type: 3 
Episode: 183 ,104.14762,0.01593, Action type: 3 
Episode: 184 ,105.13172,0.0159, Action type: 3 
Episode: 185 ,106.11586,0.01586, Action type: 3 
Episode: 186 ,107.10006,0.0158, Action type: 0 
Episode: 187 ,107.08425,0.01581, Action type: 0 
Episode: 188 ,108.06844,0.01581, Action type: 0 
Episode: 189 ,109.05263,0.01581, Action type: 0 
Episode: 190 ,109.0368,0.01583, Action type: 5 
Episode: 191 ,110.02099,0.01581, Action type: 0 
Episode: 192 ,110.00516,0.01583, Action type: 0 
Episode: 193 ,110.98933,0.01583, Action type: 0 
Episode: 194 ,111.9735,0.01583, Action type: 0 
Episode: 195 ,111.95765,0.01585, Action type: 2 
Episode: 196 ,112.94183,0.01582, Action type: 4 
Episode: 197 ,112.92598,0.01585, Action type: 1 
Episode: 198 ,112.91007,0.01591, Action type: 1 
