Episode: 1 , Rewards: 0.98431 , QoS violation: 0.01569 , Action type: 5 
Episode: 2 , Rewards: 1.96862 , QoS violation: 0.01569 , Action type: 3 
Episode: 3 , Rewards: 2.95297 , QoS violation: 0.01565 , Action type: 3 
Episode: 4 , Rewards: 3.93739 , QoS violation: 0.01558 , Action type: 3 
Episode: 1 , Rewards: 0.98431 , QoS violation: 0.01569 , Action type: 5 
Episode: 2 , Rewards: 1.96862 , QoS violation: 0.01569 , Action type: 5 
Episode: 3 , Rewards: 2.95294 , QoS violation: 0.01568 , Action type: 5 
Episode: 4 , Rewards: 3.93728 , QoS violation: 0.01566 , Action type: 5 
Episode: 5 , Rewards: 4.92164 , QoS violation: 0.01564 , Action type: 5 
Episode: 6 , Rewards: 5.90601 , QoS violation: 0.01563 , Action type: 5 
Episode: 7 , Rewards: 6.89039 , QoS violation: 0.01562 , Action type: 2 
Episode: 8 , Rewards: 7.8748000000000005 , QoS violation: 0.01559 , Action type: 2 
Episode: 9 , Rewards: 8.85927 , QoS violation: 0.01553 , Action type: 2 
Episode: 10 , Rewards: 9.84383 , QoS violation: 0.01544 , Action type: 2 
Episode: 11 , Rewards: 10.8284 , QoS violation: 0.01543 , Action type: 2 
Episode: 12 , Rewards: 11.812990000000001 , QoS violation: 0.01541 , Action type: 2 
Episode: 13 , Rewards: 12.797600000000001 , QoS violation: 0.01539 , Action type: 2 
Episode: 14 , Rewards: 13.78227 , QoS violation: 0.01533 , Action type: 2 
Episode: 15 , Rewards: 14.76698 , QoS violation: 0.01529 , Action type: 5 
Episode: 16 , Rewards: 15.7517 , QoS violation: 0.01528 , Action type: 5 
Episode: 17 , Rewards: 16.73643 , QoS violation: 0.01527 , Action type: 5 
Episode: 18 , Rewards: 17.721159999999998 , QoS violation: 0.01527 , Action type: 5 
Episode: 19 , Rewards: 18.705899999999996 , QoS violation: 0.01526 , Action type: 5 
Episode: 20 , Rewards: 19.690659999999998 , QoS violation: 0.01524 , Action type: 5 
Episode: 21 , Rewards: 20.67544 , QoS violation: 0.01522 , Action type: 5 
Episode: 22 , Rewards: 21.66023 , QoS violation: 0.01521 , Action type: 5 
Episode: 23 , Rewards: 22.64503 , QoS violation: 0.0152 , Action type: 5 
Episode: 24 , Rewards: 23.629839999999998 , QoS violation: 0.01519 , Action type: 5 
Episode: 25 , Rewards: 24.614649999999997 , QoS violation: 0.01519 , Action type: 5 
Episode: 26 , Rewards: 25.599459999999997 , QoS violation: 0.01519 , Action type: 5 
Episode: 27 , Rewards: 26.584269999999997 , QoS violation: 0.01519 , Action type: 5 
Episode: 28 , Rewards: 27.569089999999996 , QoS violation: 0.01518 , Action type: 5 
Episode: 29 , Rewards: 28.553929999999994 , QoS violation: 0.01516 , Action type: 5 
Episode: 30 , Rewards: 29.538769999999992 , QoS violation: 0.01516 , Action type: 5 
Episode: 31 , Rewards: 30.523619999999994 , QoS violation: 0.01515 , Action type: 5 
Episode: 32 , Rewards: 31.508489999999995 , QoS violation: 0.01513 , Action type: 5 
Episode: 33 , Rewards: 32.49336999999999 , QoS violation: 0.01512 , Action type: 5 
Episode: 34 , Rewards: 33.47825999999999 , QoS violation: 0.01511 , Action type: 5 
Episode: 35 , Rewards: 34.46316999999999 , QoS violation: 0.01509 , Action type: 5 
Episode: 36 , Rewards: 35.44807999999999 , QoS violation: 0.01509 , Action type: 2 
Episode: 37 , Rewards: 36.43305999999999 , QoS violation: 0.01502 , Action type: 2 
Episode: 38 , Rewards: 37.41807999999999 , QoS violation: 0.01498 , Action type: 2 
Episode: 39 , Rewards: 38.40311999999999 , QoS violation: 0.01496 , Action type: 2 
