, Rewards,QoS violation,,
Episode: 1 ,0.98431,0.01569, Action type: [1, 2] 
Episode: 2 ,1.96864,0.01567, Action type: [0, 2] 
Episode: 3 ,2.95297,0.01567, Action type: [0, 2] 
Episode: 4 ,3.9373,0.01567, Action type: [0, 2] 
Episode: 5 ,3.92162,0.01568, Action type: [0, 2] 
Episode: 6 ,4.90594,0.01568, Action type: [1, 2] 
Episode: 7 ,5.89032,0.01562, Action type: [1, 2] 
Episode: 8 ,6.8748,0.01552, Action type: [1 2] ,
Episode: 9 ,7.8593,0.0155, Action type: [0, 2] 
Episode: 10 ,8.8438,0.0155, Action type: [1, 2] 
Episode: 11 ,9.82832,0.01548, Action type: [1, 0] 
Episode: 12 ,10.81286,0.01546, Action type: [2 2] ,
Episode: 13 ,11.7974,0.01546, Action type: [2, 0] 
Episode: 14 ,12.78196,0.01544, Action type: [2, 0] 
Episode: 15 ,13.76652,0.01544, Action type: [2, 0] 
Episode: 16 ,14.75109,0.01543, Action type: [2, 0] 
Episode: 17 ,15.73567,0.01542, Action type: [2, 0] 
Episode: 18 ,16.72026,0.01541, Action type: [2, 0] 
Episode: 19 ,17.70485,0.01541, Action type: [1 1] ,
Episode: 20 ,18.68944,0.01541, Action type: [2, 0] 
Episode: 21 ,19.67404,0.0154, Action type: [2, 0] 
Episode: 22 ,20.65864,0.0154, Action type: [2, 1] 
Episode: 23 ,20.64322,0.01542, Action type: [0, 2] 
Episode: 24 ,21.6278,0.01542, Action type: [0, 2] 
Episode: 25 ,22.61238,0.01542, Action type: [1, 2] 
Episode: 26 ,23.59697,0.01541, Action type: [1, 2] 
Episode: 27 ,24.58162,0.01535, Action type: [1, 2] 
Episode: 28 ,25.56631,0.01531, Action type: [1, 2] 
Episode: 29 ,26.55106,0.01525, Action type: [1, 2] 
Episode: 30 ,27.53586,0.0152, Action type: [0, 2] 
Episode: 31 ,28.52066,0.0152, Action type: [0, 2] 
Episode: 32 ,28.50545,0.01521, Action type: [0, 1] 
Episode: 33 ,28.49018,0.01527, Action type: [0, 1] 
Episode: 34 ,28.47484,0.01534, Action type: [0, 1] 
Episode: 35 ,28.45945,0.01539, Action type: [0, 1] 
Episode: 36 ,28.444,0.01545, Action type: [0, 1] 
Episode: 37 ,28.42853,0.01547, Action type: [0, 1] 
Episode: 38 ,28.41302,0.01551, Action type: [0, 1] 
Episode: 39 ,28.39748,0.01554, Action type: [2, 0] 
