, Rewards, QoS violation,,
Episode: 1 ,1,0.01569, Action type: [1, 2] 
Episode: 2 ,2,0.01567, Action type: [1 1] ,
Episode: 3 ,1,0.01567, Action type: [1, 2] 
Episode: 4 ,2,0.0156, Action type: [1, 2] 
Episode: 5 ,3,0.01549, Action type: [1, 2] 
Episode: 6 ,4,0.01547, Action type: [1, 2] 
Episode: 7 ,5,0.01544, Action type: [1, 2] 
Episode: 8 ,6,0.01542, Action type: [1, 2] 
Episode: 9 ,7,0.01537, Action type: [1, 2] 
Episode: 10 ,8,0.01533, Action type: [1, 2] 
Episode: 11 ,9,0.01526, Action type: [1, 2] 
Episode: 12 ,10,0.01521, Action type: [1, 2] 
Episode: 13 ,11,0.01519, Action type: [2 1] ,
Episode: 14 ,10,0.01521, Action type: [1, 0] 
Episode: 15 ,11,0.01517, Action type: [1, 0] 
Episode: 16 ,12,0.01511, Action type: [2, 0] 
Episode: 17 ,13,0.0151, Action type: [2, 0] 
Episode: 18 ,12,0.0151, Action type: [2, 1] 
Episode: 19 ,11,0.01515, Action type: [2, 1] 
Episode: 20 ,10,0.01518, Action type: [2, 1] 
Episode: 21 ,9,0.01523, Action type: [2, 1] 
Episode: 22 ,8,0.0153, Action type: [2, 1] 
Episode: 23 ,7,0.01534, Action type: [2, 1] 
Episode: 24 ,6,0.01539, Action type: [2, 1] 
Episode: 25 ,5,0.01542, Action type: [2, 0] 
Episode: 26 ,6,0.0154, Action type: [1, 0] 
Episode: 27 ,7,0.01537, Action type: [1 0] ,
Episode: 28 ,8,0.01532, Action type: [1, 2] 
Episode: 29 ,9,0.01529, Action type: [1, 2] 
Episode: 30 ,10,0.01522, Action type: [1, 2] 
Episode: 31 ,11,0.01516, Action type: [1, 2] 
Episode: 32 ,12,0.01513, Action type: [1, 2] 
Episode: 33 ,13,0.01507, Action type: [1, 2] 
Episode: 34 ,14,0.01504, Action type: [1, 2] 
Episode: 35 ,15,0.01501, Action type: [0, 2] 
Episode: 36 ,14,0.01502, Action type: [0, 1] 
Episode: 37 ,13,0.01506, Action type: [2, 1] 
Episode: 38 ,12,0.01509, Action type: [2, 1] 
Episode: 39 ,11,0.01514, Action type: [2, 1] 
Episode: 40 ,10,0.01517, Action type: [2, 1] 
Episode: 41 ,9,0.01523, Action type: [2, 1] 
Episode: 42 ,8,0.01529, Action type: [2, 1] 
Episode: 43 ,7,0.01534, Action type: [2, 1] 
Episode: 44 ,6,0.01539, Action type: [2, 0] 
Episode: 45 ,7,0.01537, Action type: [2, 0] 
Episode: 46 ,6,0.01537, Action type: [1, 2] 
Episode: 47 ,7,0.01532, Action type: [1, 2] 
