Episode: 2 , Steps: 0 , Rewards: 0.98431 , QoS violation: 0.015689999999999982 , Action type: 5 
Episode: 2 , Steps: 1 , Rewards: 1.9687000000000001 , QoS violation: 0.015610000000000013 , Action type: 5 
Episode: 2 , Steps: 2 , Rewards: 2.95319 , QoS violation: 0.015510000000000024 , Action type: 5 
Episode: 2 , Steps: 3 , Rewards: 3.9377700000000004 , QoS violation: 0.01541999999999999 , Action type: 5 
Episode: 2 , Steps: 4 , Rewards: 4.92243 , QoS violation: 0.01534000000000002 , Action type: 5 
Episode: 2 , Steps: 5 , Rewards: 5.90719 , QoS violation: 0.015240000000000031 , Action type: 5 
Episode: 2 , Steps: 6 , Rewards: 6.89197 , QoS violation: 0.015220000000000011 , Action type: 5 
Episode: 2 , Steps: 7 , Rewards: 7.87688 , QoS violation: 0.015090000000000048 , Action type: 5 
Episode: 2 , Steps: 8 , Rewards: 8.86189 , QoS violation: 0.014989999999999948 , Action type: 5 
Episode: 2 , Steps: 9 , Rewards: 9.846960000000001 , QoS violation: 0.014929999999999999 , Action type: 5 
Episode: 2 , Steps: 10 , Rewards: 10.83209 , QoS violation: 0.01487000000000005 , Action type: 5 
Episode: 2 , Steps: 11 , Rewards: 11.817240000000002 , QoS violation: 0.01485000000000003 , Action type: 5 
Episode: 2 , Steps: 12 , Rewards: 12.802470000000001 , QoS violation: 0.01476999999999995 , Action type: 5 
Episode: 2 , Steps: 0 , Rewards: 0.98431 , QoS violation: 0.015689999999999982 , Action type: 5 
Episode: 2 , Steps: 1 , Rewards: 1.9687000000000001 , QoS violation: 0.015610000000000013 , Action type: 5 
Episode: 2 , Steps: 2 , Rewards: 2.95319 , QoS violation: 0.015510000000000024 , Action type: 5 
Episode: 2 , Steps: 3 , Rewards: 3.9377700000000004 , QoS violation: 0.01541999999999999 , Action type: 5 
Episode: 2 , Steps: 4 , Rewards: 4.92243 , QoS violation: 0.01534000000000002 , Action type: 5 
Episode: 2 , Steps: 5 , Rewards: 5.90719 , QoS violation: 0.015240000000000031 , Action type: 5 
Episode: 2 , Steps: 6 , Rewards: 6.89197 , QoS violation: 0.015220000000000011 , Action type: 5 
Episode: 2 , Steps: 0 , Rewards: 0.98431 , QoS violation: 0.015689999999999982 , Action type: 3 
Episode: 2 , Steps: 1 , Rewards: 1.96824 , QoS violation: 0.01607000000000003 , Action type: 3 
Episode: 2 , Steps: 2 , Rewards: 2.95175 , QoS violation: 0.016490000000000005 , Action type: 3 
Episode: 2 , Steps: 3 , Rewards: 3.93483 , QoS violation: 0.016920000000000046 , Action type: 3 
Episode: 2 , Steps: 4 , Rewards: 4.91742 , QoS violation: 0.017410000000000037 , Action type: 3 
